held_out_paper_doi,model_id,model_label,n_test,mae,rmse,r2,spearman_rho,baseline_mae,mae_improvement_vs_baseline_pct,beats_baseline
https://doi.org/10.1016/j.ijpharm.2023.123050,rf_combined,RF: combined,3,25.988435639823113,30.58475232811616,-0.024688860120479994,-0.8660254037844387,30.95818079096045,16.05309170036395,True
https://doi.org/10.1016/j.jconrel.2025.01.071,baseline_mean,Mean baseline,8,55.080491379310345,55.753661425289394,-1.1717664947945008,,55.080491379310345,0.0,False
https://doi.org/10.1016/j.jconrel.2025.01.071,rf_composition,RF: composition,8,20.04009306910295,40.14470827712603,-0.12595997972961648,,55.080491379310345,63.6167133457518,True
https://doi.org/10.1016/j.jconrel.2025.01.071,rf_descriptors,RF: descriptors,8,35.28448540696783,40.5371335871193,-0.1480806945019344,,55.080491379310345,35.940140468279125,True
https://doi.org/10.1016/j.jconrel.2025.01.071,rf_combined,RF: combined,8,31.080998872522258,38.8777693314631,-0.05601240345724601,,55.080491379310345,43.571674663387114,True
https://doi.org/10.1016/j.jpha.2024.100996,baseline_mean,Mean baseline,24,64.00972019464719,65.72768190257368,-18.38286427889619,,64.00972019464719,0.0,False
https://doi.org/10.1016/j.jpha.2024.100996,rf_composition,RF: composition,24,35.82272875783985,38.59400730714676,-5.682840143580927,0.3783433332079392,64.00972019464719,44.035486096632674,True
https://doi.org/10.1016/j.jpha.2024.100996,rf_descriptors,RF: descriptors,24,50.45289016489027,52.491643399682864,-11.3623678702639,-0.02965221688730199,64.00972019464719,21.179330246300008,True
https://doi.org/10.1016/j.jpha.2024.100996,rf_combined,RF: combined,24,42.0668577506837,44.45864469814775,-7.868164936683661,0.35685022583031045,64.00972019464719,34.28051611104911,True
https://doi.org/10.1016/j.omtn.2019.01.013,baseline_mean,Mean baseline,2,29.891858108108096,29.891858108108096,0.0,,29.891858108108096,0.0,False
https://doi.org/10.1016/j.omtn.2019.01.013,rf_composition,RF: composition,2,10.832436567602386,10.832436567602386,0.0,,29.891858108108096,63.76124719839977,True
https://doi.org/10.1016/j.omtn.2019.01.013,rf_descriptors,RF: descriptors,2,7.507513440635002,7.951025776623025,0.0,,29.891858108108096,74.88442032113551,True
https://doi.org/10.1016/j.omtn.2019.01.013,rf_combined,RF: combined,2,8.409958438646996,8.512895958831956,0.0,,29.891858108108096,71.8653875305068,True
