lnp_id,paper_doi,paper_title,lipid_molar_ratio,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,mol_pct_ionizable,mol_pct_helper,mol_pct_sterol,mol_pct_peg,ratio_sum,ratio_sum_deviation_from_100,parse_method,parse_confidence,ratio_values_complete,ratio_values_nonnegative,ratio_values_at_most_100,ratio_sum_near_100,ratio_model_eligible,ratio_review_needed
31,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
32,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
33,https://doi.org/10.1038/s41467-024-50619-z,AGILE platform: a deep learning powered approach to accelerate LNP development for mRNA delivery,35:16:46.5:2.5,Custom lipid,DOPE,cholesterol,DMG-PEG2000,35.0,16.0,46.5,2.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
51,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,26.5:1.5:52:20,Custom lipid,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
52,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,26.5:1.5:52:20,Custom lipid,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
53,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,26.5:1.5:52:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
54,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,26.5:1.0:52:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
55,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,26.5:1.5:51.5:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
56,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,26.5:3.0:50.5:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
57,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,26.5:3.0:50.5:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
58,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,26.5:3.0:50.5:20,246C10,DOPE,cholesterol,C16-Ceramide-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
63,https://doi.org/10.1016/j.omtn.2019.01.013,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines,50:10:38.5:1.5,DLin-MC3-DMA,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
64,https://doi.org/10.1016/j.omtn.2019.01.013,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines,50:10:38.5:1.5,DOTAP,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
65,https://doi.org/10.1016/j.omtn.2019.01.013,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
66,https://doi.org/10.1016/j.omtn.2019.01.013,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
67,https://doi.org/10.1016/j.omtn.2019.01.013,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
68,https://doi.org/10.1016/j.omtn.2019.01.013,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
69,https://doi.org/10.1016/j.omtn.2019.01.013,Optimization of Lipid Nanoparticles for Intramuscular Administration of mRNA Vaccines,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
109,10.1021/acs.nanolett.5b02497,Optimization of Lipid Nanoparticle Formulations for mRNA Delivery in vivo with Fractional Factorial and Definitive Screening Designs,50:1.5:38.5:10,C12-200,DSPC,cholesterol,C14-PEG2000,50.0,1.5,38.5,10.0,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
110,10.1021/acs.nanolett.5b02497,Optimization of Lipid Nanoparticle Formulations for mRNA Delivery in vivo with Fractional Factorial and Definitive Screening Designs,35:2.5:46.5:16,C12-200,DOPE,cholesterol,C14-PEG2000,35.0,2.5,46.5,16.0,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
113,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
114,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
115,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
116,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
117,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Heptadecan-9-yl 8-((2-hydroxyethyl)(8-(nonyloxy)-8-oxooctyl)amino)octanoate,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
118,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
119,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
120,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,SM-102,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
121,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
122,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,Custom lipid,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
123,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,50:10:38.5:1.5,DLin-MC3-DMA,DSPC,cholesterol,PEG-lipid,50.0,10.0,38.5,1.5,100.0,0.0,doi_lookup,high,True,True,True,True,True,False
174,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
175,10.1126/sciadv.abc2315,Functionalized lipid-like nanoparticles for in vivo mRNA delivery and base editing,20:0.75:40:30,Custom lipid,DOPE,cholesterol,DMG-PEG2000,,,,,,,ambiguous_doi,excluded,False,False,False,False,False,False
