mw,logp,tpsa,num_rotatable_bonds,num_hbd,num_hba,num_ester_bonds,num_tertiary_amines,tail_length_carbons,num_unsaturated_bonds,num_branch_points,num_rings,fraction_csp3,heavy_atom_count,ionizable_lipid_smiles
690.1950000000002,13.847799999999973,49.769999999999996,40.0,1.0,4.0,1.0,1.0,17.0,3.0,2.0,0.0,0.8888888888888888,49.0,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCCC/C=C\C/C=C\CCCCC)CCO
710.1819999999998,12.668699999999982,76.07000000000001,41.0,1.0,6.0,2.0,1.0,9.0,2.0,3.0,0.0,0.9545454545454546,50.0,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO
822.3979999999995,15.787899999999963,76.07000000000001,48.0,1.0,6.0,2.0,1.0,17.0,2.0,4.0,0.0,0.9615384615384616,58.0,CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO
737.2519999999996,13.23799999999998,59.080000000000005,42.0,0.0,6.0,2.0,2.0,9.0,2.0,3.0,0.0,0.9565217391304348,52.0,CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCN(C)C
710.1819999999998,12.668699999999982,76.07000000000001,41.0,1.0,6.0,2.0,1.0,11.0,2.0,3.0,0.0,0.9545454545454546,50.0,CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO  
654.0740000000001,11.108299999999991,76.07000000000001,37.0,1.0,6.0,2.0,1.0,9.0,2.0,3.0,0.0,0.95,46.0,CCCCCCCCCOC(=O)CCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO
738.2359999999996,13.448899999999977,76.07000000000001,43.0,1.0,6.0,2.0,1.0,11.0,2.0,3.0,0.0,0.9565217391304348,52.0,CCCCCCCCCCCOC(=O)CCCCCN(CCCCCC(=O)OC(CCCCCCCCCC)CCCCCCCCCC)CCO
1482.3099999999997,23.34100000000003,169.87999999999997,78.0,2.0,12.0,4.0,2.0,18.0,14.0,8.0,1.0,0.7608695652173914,106.0,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCN(CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC)CCCCC1NC(=O)C(NC1=O)CCCCN(CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC)CCOC(=O)CCCCCCC/C=C\C/C=C\CCCCC
1314.1619999999994,21.05140000000001,145.6,70.0,6.0,8.0,0.0,2.0,18.0,10.0,8.0,1.0,0.7857142857142857,94.0,CCCCC/C=C\C/C=C\CCCCCCC(O)CN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CCCCC1NC(=O)C(NC1=O)CCCCN(CC(O)CCCCCC/C=C\C/C=C\CCCCC)CC(O)CCCCCC/C=C\C/C=C\CCCCC
422.56600000000026,4.599100000000004,110.88000000000002,14.0,3.0,7.0,2.0,0.0,5.0,2.0,8.0,1.0,0.6521739130434783,30.0,NNCC1=CC(=C(O)C(=C1)OC(=O)CC(CC)CCC)OC(=O)CC(CC)CCC
