endpoint,endpoint_column,model_id,model_label,feature_set,fold,n_train,n_test,n_train_studies,n_test_studies,selected_ridge_alpha,mae,rmse,r2,spearman_rho
transfection,transfection_pctile,rf_composition,RF: composition,composition,4,100,19,10,5,,0.2329918680633681,0.2743073804101128,-0.06369773093072983,0.14705503460142152
transfection,transfection_pctile,rf_composition,RF: composition,composition,5,101,18,10,5,,0.22786907672177095,0.26615597534187985,-0.036408275354504305,-0.19604391875725347
transfection,transfection_pctile,ridge_descriptors,Ridge: descriptors,descriptors,1,85,34,14,1,100.0,0.212517211015676,0.2525758169788743,-0.22683015005052454,
transfection,transfection_pctile,ridge_descriptors,Ridge: descriptors,descriptors,2,90,29,14,1,100.0,0.2387039348091052,0.27879185298012,-0.08237961782871372,-0.5456449468536707
transfection,transfection_pctile,ridge_descriptors,Ridge: descriptors,descriptors,3,100,19,12,3,100.0,0.2352432433175347,0.2960650188681032,-0.10148164259912185,-0.26530549002594694
transfection,transfection_pctile,ridge_descriptors,Ridge: descriptors,descriptors,4,100,19,10,5,100.0,0.2448276136711934,0.27945644280267956,-0.10400617013579172,-0.19181630750364484
transfection,transfection_pctile,ridge_descriptors,Ridge: descriptors,descriptors,5,101,18,10,5,100.0,0.24455479538233071,0.2701105638160923,-0.06743532112587292,-0.19032835261272713
transfection,transfection_pctile,rf_descriptors,RF: descriptors,descriptors,1,85,34,14,1,,0.2030181570922246,0.23716229867922367,-0.08166358658325268,
transfection,transfection_pctile,rf_descriptors,RF: descriptors,descriptors,2,90,29,14,1,,0.25132667870446473,0.296034554714191,-0.22040580017680256,-0.5382530532408416
transfection,transfection_pctile,rf_descriptors,RF: descriptors,descriptors,3,100,19,12,3,,0.24945817365180228,0.30754993141042336,-0.1885962030699786,-0.20988208286299226
transfection,transfection_pctile,rf_descriptors,RF: descriptors,descriptors,4,100,19,10,5,,0.2753525501212024,0.3195358288558233,-0.4433856085499215,0.0890346811365262
transfection,transfection_pctile,rf_descriptors,RF: descriptors,descriptors,5,101,18,10,5,,0.27168540889410486,0.30178794500930706,-0.3324846234688401,-0.10459486044483203
transfection,transfection_pctile,ridge_combined,Ridge: combined,combined,1,85,34,14,1,100.0,0.20883416252480483,0.25325892085157653,-0.23347517025825648,0.6821349540077928
transfection,transfection_pctile,ridge_combined,Ridge: combined,combined,2,90,29,14,1,100.0,0.24373988064901267,0.2855266293599037,-0.13530535345985806,-0.5301219702667296
transfection,transfection_pctile,ridge_combined,Ridge: combined,combined,3,100,19,12,3,100.0,0.23120576801806142,0.2855803667139984,-0.024848720997397544,-0.1707445945759506
transfection,transfection_pctile,ridge_combined,Ridge: combined,combined,4,100,19,10,5,100.0,0.2511393751993699,0.2850375804222898,-0.14854361799060767,-0.2011053058547355
transfection,transfection_pctile,ridge_combined,Ridge: combined,combined,5,101,18,10,5,1.0,0.23278000975591728,0.32441199078962774,-0.5397571399515775,0.021758689655270228
transfection,transfection_pctile,rf_combined,RF: combined,combined,1,85,34,14,1,,0.2122823415691038,0.24696084994923623,-0.17288958521054543,-0.07431834409142167
transfection,transfection_pctile,rf_combined,RF: combined,combined,2,90,29,14,1,,0.2899009127368727,0.3554876521458753,-0.7598209720687124,-0.4581742057685259
transfection,transfection_pctile,rf_combined,RF: combined,combined,3,100,19,12,3,,0.23290310322993443,0.2922818951627588,-0.0735119887200133,0.08003652870747685
transfection,transfection_pctile,rf_combined,RF: combined,combined,4,100,19,10,5,,0.27319196761385656,0.3184805530200083,-0.43386771001164126,0.17161165970449777
transfection,transfection_pctile,rf_combined,RF: combined,combined,5,101,18,10,5,,0.2549270368898721,0.28182656558203184,-0.16204323569112322,-0.16886364277653865
particle_size,size_mean,baseline_mean,Mean baseline,none,1,203,95,27,1,,61.54750064817216,66.97630916599806,-5.429161099139284,
particle_size,size_mean,baseline_mean,Mean baseline,none,2,247,51,22,6,,38.30187108041597,44.74309339926874,-0.38841803671988817,
particle_size,size_mean,baseline_mean,Mean baseline,none,3,247,51,21,7,,24.045244899579256,31.57057402439998,-0.21440839377802012,
particle_size,size_mean,baseline_mean,Mean baseline,none,4,247,51,21,7,,50.671721044693186,56.81909175059065,-0.6304138656948439,
particle_size,size_mean,baseline_mean,Mean baseline,none,5,248,50,21,7,,43.07845322580646,46.76517231802433,-0.294688219377955,
particle_size,size_mean,ridge_composition,Ridge: composition,composition,1,203,95,27,1,100.0,61.543800058354456,66.97290854580912,-5.4285082539685,
particle_size,size_mean,ridge_composition,Ridge: composition,composition,2,247,51,22,6,30.0,57.0570943471008,79.15086977653573,-3.344898314941415,-0.1406346062599615
