lnp_id,paper_doi,lipid_molar_ratio,ionizable_lipid,helper_lipid,sterol_lipid,peg_lipid,mol_pct_ionizable,mol_pct_helper,mol_pct_sterol,mol_pct_peg,parse_method,parse_confidence
222,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
223,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
224,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
225,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
226,https://doi.org/10.1038/s41467-024-45422-9,25:0.75:19.25:5,DLin-MC3-DMA,DSPC,cholesterol,C14-PEG2000,25.0,5.0,19.25,0.75,doi_lookup,high
227,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
228,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
229,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
230,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
231,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
232,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
233,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
234,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
235,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
236,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
237,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
238,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
239,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
240,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
241,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
242,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
243,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
244,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
245,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
246,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
247,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
248,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
249,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
250,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
251,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
252,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
253,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
254,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
255,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
256,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
257,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
258,https://doi.org/10.1038/s41467-024-45422-9,35:2.5:46.5:16,Custom lipid,DOPE,cholesterol,C14-PEG2000,35.0,16.0,46.5,2.5,doi_lookup,high
