lnp_id,paper_doi,paper_title,transfection_pctile,size_mean,pdi_mean,ee_mean,category_primary,4D_penalty_50_150,4D_penalty_60_150_primary,4D_penalty_60_200,3D_in_band_50_150,3D_in_band_60_150_primary,3D_in_band_60_200,n_scenarios_selected,selected_in_primary_4d,selected_in_primary_in_band_3d
623,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,100.77,0.13,89.74,Potent + Developable,False,False,False,False,False,False,0,False,False
627,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,114.57,0.13,75.34,Potent only,False,False,False,False,False,False,0,False,False
633,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,102.97,0.13,73.75,Potent only,False,False,False,False,False,False,0,False,False
630,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,101.1,0.14,77.28,Potent only,False,False,False,False,False,False,0,False,False
626,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,116.6,0.19,93.77,Potent + Developable,False,False,False,False,False,False,0,False,False
634,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5555555555555556,129.77,0.24,71.51,Potent only,False,False,False,False,False,False,0,False,False
963,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.5348837209302325,259.6,0.3,25.5,Potent only,False,False,False,False,False,False,0,False,False
989,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.5116279069767442,115.6,0.2,76.5,Potent only,False,False,False,False,False,False,0,False,False
948,https://doi.org/10.1038/s41467-020-16248-y,Synergistic lipid compositions for albumin receptor mediated delivery of mRNA to the liver,0.5,99.5,0.07,72.5,Neither,False,False,False,False,False,False,0,False,False
635,10.1021/jacs.2c12893,Ionizable Lipid Nanoparticles for In Vivo mRNA Delivery to the Placenta during Pregnancy,0.5,82.11,0.11,88.31,Developable only,False,False,False,False,False,False,0,False,False
109,10.1021/acs.nanolett.5b02497,Optimization of Lipid Nanoparticle Formulations for mRNA Delivery in vivo with Fractional Factorial and Definitive Screening Designs,0.5,113.0,0.147,27.0,Neither,False,False,False,False,False,False,0,False,False
780,10.1002/btm2.10580,Optimization of ionizable lipids for aerosolizable mRNA lipid nanoparticles,0.5,112.9,0.152,93.4,Developable only,False,False,False,False,False,False,0,False,False
974,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.4767441860465116,108.7,0.1,65.2,Neither,False,False,False,False,False,False,0,False,False
972,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.4767441860465116,127.8,0.2,57.2,Neither,False,False,False,False,False,False,0,False,False
966,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.4418604651162791,167.9,0.2,22.5,Neither,False,False,False,False,False,False,0,False,False
863,https://doi.org/10.1016/j.jconrel.2025.01.071,Role of PEGylated lipid in lipid nanoparticle formulation for in vitro and in vivo delivery of mRNA vaccines,0.4285714285714285,70.0,0.2,80.0,Neither,False,False,False,False,False,False,0,False,False
967,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.4186046511627907,122.4,0.3,96.4,Neither,False,False,False,False,False,False,0,False,False
1090,https://dx.doi.org/10.1021/acs.nanolett.0c01386,Deconvoluting Lipid Nanoparticle Structure for Messenger RNA Delivery,0.4,85.0,0.07,90.0,Developable only,False,False,False,False,False,False,0,False,False
510,https://doi.org/10.34133/bmr.0017,Development of Lipid Nanoparticle Formulation for the Repeated Administration of mRNA Therapeutics,0.4,82.84,0.079,92.9,Developable only,False,False,False,False,False,False,0,False,False
965,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.3953488372093023,137.9,0.2,57.9,Neither,False,False,False,False,False,False,0,False,False
433,10.1002/anie.201809056,Customizable Lipid Nanoparticle Materials for the Delivery of siRNAs and mRNAs,0.375,93.0,0.047,98.0,Developable only,False,False,False,False,False,False,0,False,False
988,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.3604651162790697,94.8,0.1,75.5,Neither,False,False,False,False,False,False,0,False,False
978,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.3604651162790697,83.2,0.3,41.3,Neither,False,False,False,False,False,False,0,False,False
783,10.1002/btm2.10580,Optimization of ionizable lipids for aerosolizable mRNA lipid nanoparticles,0.3333333333333333,111.2,0.172,89.8,Developable only,False,False,False,False,False,False,0,False,False
964,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.3255813953488372,115.9,0.3,64.7,Neither,False,False,False,False,False,False,0,False,False
577,10.1002/jbm.a.37705,Influence of ionizable lipid tail length on lipid nanoparticle delivery of mRNA of varying length,0.3125,90.0,0.16,62.0,Neither,False,False,False,False,False,False,0,False,False
576,10.1002/jbm.a.37705,Influence of ionizable lipid tail length on lipid nanoparticle delivery of mRNA of varying length,0.3125,85.0,0.18,95.0,Developable only,False,False,False,False,False,False,0,False,False
579,10.1002/jbm.a.37705,Influence of ionizable lipid tail length on lipid nanoparticle delivery of mRNA of varying length,0.3125,88.0,0.19,74.0,Neither,False,False,False,False,False,False,0,False,False
578,10.1002/jbm.a.37705,Influence of ionizable lipid tail length on lipid nanoparticle delivery of mRNA of varying length,0.3125,82.0,0.22,87.0,Developable only,False,False,False,False,False,False,0,False,False
977,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.3023255813953488,129.4,0.2,53.9,Neither,False,False,False,False,False,False,0,False,False
934,https://doi.org/10.1248/cpb.c24-00089,Understanding the Manufacturing Process of Lipid Nanoparticles for mRNA Delivery Using Machine Learning,0.3,77.0,0.081,96.0,Developable only,False,False,False,False,False,False,0,False,False
933,https://doi.org/10.1248/cpb.c24-00089,Understanding the Manufacturing Process of Lipid Nanoparticles for mRNA Delivery Using Machine Learning,0.3,83.0,0.121,96.0,Developable only,False,False,False,False,False,False,0,False,False
969,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.2790697674418604,72.3,0.2,56.4,Neither,False,False,False,False,False,False,0,False,False
979,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.2558139534883721,110.7,0.1,98.9,Developable only,False,False,False,False,False,False,0,False,False
54,10.1126/sciadv.abf4398,Engineered ionizable lipid nanoparticles for targeted delivery of RNA therapeutics into different types of cells in the liver,0.25,97.0,0.064,88.3,Developable only,False,False,False,False,False,False,0,False,False
784,10.1002/btm2.10580,Optimization of ionizable lipids for aerosolizable mRNA lipid nanoparticles,0.25,108.1,0.166,91.2,Developable only,False,False,False,False,False,False,0,False,False
980,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.2325581395348837,154.9,0.1,9.4,Neither,False,False,False,False,False,False,0,False,False
953,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.2093023255813953,95.9,0.166,67.6,Neither,False,False,False,False,False,False,0,False,False
1088,https://dx.doi.org/10.1021/acs.nanolett.0c01386,Deconvoluting Lipid Nanoparticle Structure for Messenger RNA Delivery,0.2,80.0,0.05,95.0,Developable only,False,False,False,False,False,False,0,False,False
511,https://doi.org/10.34133/bmr.0017,Development of Lipid Nanoparticle Formulation for the Repeated Administration of mRNA Therapeutics,0.2,69.41,0.077,91.7,Developable only,False,False,False,False,False,False,0,False,False
113,https://doi.org/10.1016/j.ymthe.2018.03.010,A Novel Amino Lipid Series for mRNA Delivery: Improved Endosomal Escape and Sustained Pharmacology and Safety in Non-human Primates,0.2,93.8,0.14,96.9,Developable only,False,False,False,False,False,False,0,False,False
954,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.1860465116279069,97.9,0.125,61.2,Neither,False,False,False,False,False,False,0,False,False
778,10.1002/btm2.10580,Optimization of ionizable lipids for aerosolizable mRNA lipid nanoparticles,0.1666666666666666,118.9,0.168,91.5,Developable only,False,False,False,False,False,False,0,False,False
952,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.1627906976744186,89.6,0.159,63.4,Neither,False,False,False,False,False,False,0,False,False
865,https://doi.org/10.1016/j.jconrel.2025.01.071,Role of PEGylated lipid in lipid nanoparticle formulation for in vitro and in vivo delivery of mRNA vaccines,0.1428571428571428,65.0,0.2,80.0,Neither,False,False,False,False,False,False,0,False,False
956,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.1395348837209302,95.9,0.21,67.5,Neither,False,False,False,False,False,False,0,False,False
951,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.1162790697674418,86.9,0.205,61.2,Neither,False,False,False,False,False,False,0,False,False
950,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.0930232558139534,87.9,0.135,68.4,Neither,False,False,False,False,False,False,0,False,False
785,10.1002/btm2.10580,Optimization of ionizable lipids for aerosolizable mRNA lipid nanoparticles,0.0833333333333333,113.9,0.174,88.7,Developable only,False,False,False,False,False,False,0,False,False
957,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.0697674418604651,92.3,0.197,67.8,Neither,False,False,False,False,False,False,0,False,False
955,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.0465116279069767,92.4,0.176,67.2,Neither,False,False,False,False,False,False,0,False,False
949,https://doi.org/10.1038/s41587-019-0247-3,Delivery of mRNA vaccines with heterocyclic lipids increases anti-tumor efficacy by STING-mediated immune cell activation,0.0232558139534883,99.9,0.145,77.0,Neither,False,False,False,False,False,False,0,False,False
